filename 	 predicted_class
-------------------------------
killer-whale_0009.jpg	killer-whale
killer-whale_0054.jpg	killer-whale
killer-whale_0060.jpg	killer-whale
killer-whale_0037.jpg	killer-whale
killer-whale_0008.jpg	killer-whale
killer-whale_0012.jpg	killer-whale
killer-whale_0033.jpg	killer-whale
0001.jpg	killer-whale
killer-whale_0036.jpg	killer-whale
killer-whale_0031.jpg	killer-whale
killer-whale_0034.jpg	killer-whale
killer-whale_0048.jpg	killer-whale
killer-whale_0043.jpg	killer-whale
killer-whale_0061.jpg	killer-whale
killer-whale_0055.jpg	killer-whale
killer-whale_0018.jpg	killer-whale
killer-whale_0003.jpg	killer-whale
killer-whale_0021.jpg	killer-whale
killer-whale_0017.jpg	killer-whale
killer-whale_0019.jpg	killer-whale
killer-whale_0058.jpg	killer-whale
killer-whale_0042.jpg	killer-whale
killer-whale_0014.jpg	killer-whale
killer-whale_0029.jpg	killer-whale
killer-whale_0030.jpg	killer-whale
killer-whale_0028.jpg	killer-whale
killer-whale_0050.jpg	killer-whale
killer-whale_0006.jpg	killer-whale
killer-whale_0039.jpg	killer-whale
killer-whale_0059.jpg	killer-whale
killer-whale_0053.jpg	killer-whale
killer-whale_0020.jpg	killer-whale
killer-whale_0027.jpg	killer-whale
killer-whale_0016.jpg	killer-whale
killer-whale_0040.jpg	killer-whale
killer-whale_0044.jpg	killer-whale
killer-whale_0051.jpg	killer-whale
killer-whale_0045.jpg	killer-whale
killer-whale_0002.jpg	killer-whale
killer-whale_0007.jpg	killer-whale
killer-whale_0047.jpg	killer-whale
killer-whale_0004.jpg	killer-whale
killer-whale_0052.jpg	killer-whale
killer-whale_0038.jpg	killer-whale
killer-whale_0026.jpg	killer-whale
killer-whale_0041.jpg	killer-whale
killer-whale_0005.jpg	killer-whale
killer-whale_0032.jpg	killer-whale
killer-whale_0049.jpg	killer-whale
killer-whale_0010.jpg	killer-whale
killer-whale_0023.jpg	killer-whale
killer-whale_0011.jpg	killer-whale
killer-whale_0025.jpg	killer-whale
killer-whale_0057.jpg	killer-whale
killer-whale_0024.jpg	killer-whale
killer-whale_0013.jpg	killer-whale
killer-whale_0035.jpg	killer-whale
killer-whale_0046.jpg	killer-whale
killer-whale_0022.jpg	killer-whale
killer-whale_0056.jpg	killer-whale
killer-whale_0015.jpg	killer-whale
